                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2113,                  1.364,                0.55218,                0.97723,             0.00090451
                      1,                0.93034,                0.99401,                0.74336,                0.99051,             0.00065451
                      2,                0.74897,                 1.1421,                0.71822,                0.97581,             0.00034549
                      3,                0.60148,                0.71858,                0.90085,                0.99336,             9.5492e-05
                      4,                0.51821,                0.69538,                0.91414,                0.99004,                  0.001
                      5,                0.80374,                 1.5032,                0.50474,                0.89137,             0.00097553
                      6,                 0.6552,                 0.7735,                0.88425,                0.98861,             0.00090451
                      7,                0.60219,                0.79897,                0.86954,                 0.9834,             0.00079389
                      8,                0.54917,                0.75572,                0.88425,                0.98767,             0.00065451
                      9,                0.50921,                0.77653,                0.86528,                0.98102,                 0.0005
                     10,                0.49262,                0.69527,                0.90607,                0.99194,             0.00034549
                     11,                0.46731,                0.66599,                0.91888,                0.99051,             0.00020611
                     12,                0.46105,                0.65455,                0.92362,                0.99004,             9.5492e-05
                     13,                0.45618,                0.65164,                0.92315,                0.99099,             2.4472e-05
                     14,                0.45458,                0.65125,                0.92268,                0.98956,                  0.001
                     15,                0.86234,                0.74213,                0.89089,                0.99146,             0.00099384
                     16,                 0.6445,                0.74803,                0.89089,                0.99288,             0.00097553
                     17,                0.57995,                0.69775,                0.90939,                0.99099,              0.0009455
                     18,                0.53594,                0.68704,                0.90939,                0.98861,             0.00090451
                     19,                0.53807,                0.70081,                 0.9056,                0.99194,             0.00085355
                     20,                0.51294,                0.68985,                0.90987,                0.99099,             0.00079389
                     21,                0.50228,                0.67982,                0.91271,                0.99288,               0.000727
                     22,                0.48481,                0.67135,                0.91556,                0.98624,             0.00065451
                     23,                0.50017,                0.69531,                0.90655,                0.98956,             0.00057822
                     24,                0.47069,                0.67657,                0.91556,                0.99194,                 0.0005
                     25,                0.46112,                0.67632,                0.91082,                0.99241,             0.00042178
                     26,                0.45263,                0.66868,                0.91129,                0.99241,             0.00034549
                     27,                0.45327,                0.66312,                0.91319,                0.99099,               0.000273
                     28,                0.46305,                0.66421,                0.91746,                0.99146,             0.00020611
                     29,                0.45225,                0.67114,                0.91793,                0.98909,             0.00014645
                     30,                0.44925,                0.67686,                0.91366,                0.98861,             9.5492e-05
                     31,                0.44884,                0.67659,                0.91366,                0.98861,             5.4497e-05
                     32,                0.44836,                0.67592,                0.91556,                0.98861,             2.4472e-05
                     33,                0.44827,                0.67599,                0.91414,                0.98861,             6.1558e-06
                     34,                0.44815,                0.67534,                0.91509,                0.98814,                  0.001
