                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2344,                 1.2752,                0.56391,                0.99749,             0.00090451
                      1,                0.91954,                  1.131,                0.69048,                0.99812,             0.00065451
                      2,                0.72059,                0.98563,                0.74279,                0.99718,             0.00034549
                      3,                0.57417,                 0.7362,                0.88847,                0.99499,             9.5492e-05
                      4,                0.51112,                0.67374,                 0.9104,                0.99718,                  0.001
                      5,                0.78762,                0.92852,                0.79323,                0.99467,             0.00097553
                      6,                 0.6421,                0.77885,                  0.875,                0.99561,             0.00090451
                      7,                0.56642,                0.72759,                0.88847,                0.99812,             0.00079389
                      8,                0.53239,                0.71839,                0.89474,                0.99655,             0.00065451
                      9,                0.50778,                0.68765,                0.90758,                0.99687,                 0.0005
                     10,                 0.4814,                0.69343,                0.90539,                0.99561,             0.00034549
                     11,                0.46939,                0.66169,                0.91385,                0.99781,             0.00020611
                     12,                0.46153,                0.66982,                0.91353,                0.99593,             9.5492e-05
                     13,                0.45712,                0.65845,                0.91667,                0.99655,             2.4472e-05
                     14,                0.45547,                0.66152,                0.91604,                0.99624,                  0.001
                     15,                 1.0553,                 0.8923,                0.80138,                0.99749,             0.00099384
                     16,                0.82004,                0.81579,                0.84586,                0.99875,             0.00097553
                     17,                 0.6786,                0.76067,                0.88283,                0.99718,              0.0009455
                     18,                 0.6103,                0.73188,                  0.901,                0.99467,             0.00090451
                     19,                0.58058,                 0.7124,                0.90414,                0.99749,             0.00085355
                     20,                0.54608,                0.72111,                0.89693,                0.99185,             0.00079389
                     21,                0.53429,                0.70773,                0.90445,                0.99342,               0.000727
                     22,                0.53491,                0.70523,                0.90038,                0.99593,             0.00065451
                     23,                0.49888,                0.70299,                0.90883,                0.99593,             0.00057822
                     24,                0.49905,                0.70374,                0.90194,                0.99467,                 0.0005
                     25,                0.48223,                0.70934,                0.90006,                0.99373,             0.00042178
                     26,                0.46755,                0.71286,                0.90194,                0.99467,             0.00034549
                     27,                0.48006,                0.71618,                0.90069,                0.99436,               0.000273
                     28,                0.45958,                0.71236,                0.90006,                0.99342,             0.00020611
                     29,                0.45643,                0.71402,                0.90132,                0.99342,             0.00014645
                     30,                0.45596,                0.71717,                0.89975,                0.99279,             9.5492e-05
                     31,                0.45327,                0.71782,                0.90038,                0.99185,             5.4497e-05
                     32,                0.45178,                0.71829,                0.90038,                0.99185,             2.4472e-05
                     33,                 0.4511,                0.71837,                0.90069,                0.99123,             6.1558e-06
                     34,                0.45094,                0.71817,                0.90038,                0.99091,                  0.001
                     35,                0.90122,                 2.3881,                0.32456,                0.84649,             0.00099846
                     36,                0.65651,                 2.5192,                0.25157,                0.75971,             0.00099384
                     37,                0.58575,                 2.5606,                0.24248,                0.74687,             0.00098618
                     38,                0.55138,                 2.5655,                0.23997,                0.74969,             0.00097553
                     39,                0.55003,                 2.5617,                0.23841,                0.75376,             0.00096194
                     40,                0.52544,                 2.5552,                0.23622,                 0.7619,              0.0009455
