                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.3725,                 1.6184,                0.47072,                0.95948,             0.00090451
                      1,                 1.2487,                 1.2229,                0.62476,                0.99417,             0.00065451
                      2,                 1.2011,                 1.1223,                 0.6675,                 0.9975,             0.00034549
                      3,                 1.1403,                 1.0822,                 0.6897,                0.99639,             9.5492e-05
                      4,                 1.0805,                 1.0597,                0.70441,                0.99833,                  0.001
                      5,                 1.1841,                 1.1527,                0.63586,                0.99639,             0.00097553
                      6,                 1.1718,                   1.19,                 0.6045,                0.99584,             0.00090451
                      7,                  1.148,                 1.2525,                0.54677,                  0.995,             0.00079389
                      8,                 1.1272,                 1.3295,                0.50985,                0.99445,             0.00065451
                      9,                 1.0946,                 1.4085,                0.49209,                0.99334,                 0.0005
                     10,                 1.0596,                   1.48,                0.47794,                0.99306,             0.00034549
                     11,                 1.0111,                 1.5297,                0.47072,                0.99251,             0.00020611
                     12,                0.94889,                  1.564,                0.47322,                0.99056,             9.5492e-05
                     13,                0.88462,                 1.5753,                0.47766,                0.99084,             2.4472e-05
                     14,                0.83473,                 1.5559,                0.48737,                0.99056,                  0.001
                     15,                 1.0529,                 1.5125,                0.49542,                0.99251,             0.00099384
                     16,                 1.0508,                   1.48,                0.49931,                0.99223,             0.00097553
                     17,                 1.0463,                  1.486,                0.49098,                0.99251,              0.0009455
                     18,                 1.0239,                  1.495,                0.48182,                0.99251,             0.00090451
                     19,                 1.0013,                 1.5291,                0.47488,                0.99112,             0.00085355
                     20,                 0.9682,                 1.5596,                0.46656,                0.99056,             0.00079389
                     21,                0.93462,                 1.5919,                0.46378,                0.99084,               0.000727
                     22,                0.89205,                 1.6384,                0.46378,                0.99084,             0.00065451
                     23,                0.84782,                 1.6767,                  0.466,                0.99112,             0.00057822
                     24,                  0.798,                 1.6857,                0.47766,                0.99167,                 0.0005
                     25,                0.75038,                 1.6747,                0.48737,                0.99223,             0.00042178
                     26,                0.70073,                 1.6273,                0.50902,                0.99417,             0.00034549
                     27,                0.65567,                 1.5609,                0.53844,                0.99417,               0.000273
                     28,                0.61676,                 1.4625,                0.57286,                0.99417,             0.00020611
                     29,                0.58313,                 1.3644,                0.60838,                0.99445,             0.00014645
                     30,                0.55534,                 1.2735,                0.64779,                0.99417,             9.5492e-05
                     31,                0.53546,                 1.1907,                0.68415,                0.99389,             5.4497e-05
                     32,                0.52086,                 1.1288,                0.71191,                0.99223,             2.4472e-05
                     33,                0.51197,                 1.0693,                  0.738,                0.99001,             6.1558e-06
                     34,                0.50754,                 1.0165,                0.76187,                0.99029,                  0.001
