                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
112,0.46158,1.5854,0.44799,0.91447,0.00053923
113,0.45106,1.55,0.47118,0.91792,0.00051963
114,0.44958,1.5172,0.49029,0.92356,0.0005
115,0.4674,1.4882,0.50658,0.92732,0.00048037
116,0.45799,1.4632,0.51974,0.92732,0.00046077
117,0.45093,1.4341,0.53352,0.93108,0.00044123
118,0.44918,1.4077,0.55107,0.93484,0.00042178
119,0.4487,1.3854,0.56454,0.9364,0.00040245
120,0.44858,1.3675,0.57801,0.93766,0.00038328
121,0.44839,1.3583,0.58553,0.9386,0.00036428
122,0.44872,1.356,0.58647,0.9386,0.00034549
123,0.4485,1.3625,0.58271,0.93734,0.00032694
124,0.44828,1.3795,0.57049,0.93546,0.00030866
125,0.48348,1.3912,0.56328,0.93546,0.00029067
126,0.45326,1.3995,0.56015,0.93546,0.000273
127,0.45008,1.4028,0.55733,0.93452,0.00025569
128,0.45142,1.4061,0.5542,0.93327,0.00023875
129,0.4483,1.4069,0.5542,0.93296,0.00022221
130,0.44797,1.406,0.55733,0.93264,0.00020611
131,0.44776,1.4047,0.56078,0.93233,0.00019045
132,0.44779,1.4037,0.56203,0.93108,0.00017528
133,0.44759,1.4032,0.56015,0.93014,0.0001606
134,0.44766,1.404,0.55984,0.92857,0.00014645
135,0.44747,1.4071,0.55764,0.92826,0.00013284
136,0.44735,1.4119,0.55482,0.92763,0.0001198
137,0.44727,1.4198,0.55044,0.92575,0.00010734
138,0.44724,1.4305,0.54386,0.92199,9.55E-05
139,0.44718,1.4441,0.53383,0.91855,8.43E-05
140,0.44711,1.4614,0.52412,0.91635,7.37E-05
141,0.44703,1.4812,0.51003,0.91197,6.38E-05
142,0.447,1.5042,0.49624,0.90883,5.45E-05
143,0.44691,1.5286,0.48214,0.90508,4.59E-05
144,0.44686,1.5545,0.46429,0.90038,3.81E-05
145,0.44683,1.5816,0.44706,0.8963,3.09E-05
146,0.44685,1.6089,0.43358,0.89035,2.45E-05
147,0.44671,1.6346,0.41886,0.8844,1.88E-05
148,0.44667,1.6585,0.40852,0.88095,1.38E-05
149,0.44665,1.6801,0.39536,0.87719,9.61E-06
150,0.44661,1.6996,0.38471,0.87312,6.16E-06
151,0.4466,1.7163,0.37281,0.87249,3.47E-06
152,0.44659,1.7305,0.36372,0.86842,1.54E-06
153,0.44656,1.7422,0.3562,0.8656,3.85E-07
154,0.44657,1.7511,0.3515,0.86341,0.001
,,,,,
,,,,,
,,,,,
,,,0.93484,,
