                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2535,                 1.2708,                0.60652,                0.98935,             0.00090451
                      1,                  0.966,                 1.0203,                0.74123,                0.99436,             0.00065451
                      2,                0.74569,                0.88881,                0.82926,                0.99467,             0.00034549
                      3,                0.59448,                0.72763,                0.90539,                0.99624,             9.5492e-05
                      4,                0.53037,                0.68891,                0.91667,                0.99593,                  0.001
                      5,                 0.7858,                0.89159,                 0.8349,                0.99373,             0.00097553
                      6,                0.62897,                 0.8605,                0.82957,                0.99436,             0.00090451
                      7,                0.57403,                 1.0263,                0.77287,                0.98872,             0.00079389
                      8,                0.54025,                 0.8189,                0.86247,                0.99436,             0.00065451
                      9,                0.51974,                0.68998,                0.91447,                0.99436,                 0.0005
                     10,                0.49563,                0.70051,                0.90414,                 0.9953,             0.00034549
                     11,                0.48016,                0.66199,                0.92105,                0.99405,             0.00020611
                     12,                0.46879,                0.66081,                0.92168,                0.99311,             9.5492e-05
                     13,                0.46367,                0.65921,                 0.9198,                0.99342,             2.4472e-05
                     14,                0.46026,                0.65738,                0.92043,                0.99311,                  0.001
                     15,                 0.8865,                0.76406,                0.88377,                0.99561,             0.00099384
                     16,                0.64335,                0.68866,                0.91291,                0.99749,             0.00097553
                     17,                  0.562,                0.69533,                0.90414,                0.99561,              0.0009455
                     18,                0.54758,                0.68716,                0.91573,                0.99467,             0.00090451
                     19,                0.53036,                0.67487,                0.91917,                0.99436,             0.00085355
                     20,                0.51165,                 0.6696,                0.91729,                0.99499,             0.00079389
                     21,                0.48897,                0.67158,                0.91479,                0.99593,               0.000727
                     22,                0.49583,                0.66733,                0.91792,                0.99624,             0.00065451
                     23,                 0.4904,                 0.6631,                0.92168,                0.99593,             0.00057822
                     24,                  0.473,                0.66267,                0.91761,                0.99687,                 0.0005
                     25,                0.46984,                 0.6645,                0.91541,                0.99718,             0.00042178
                     26,                0.46496,                0.66759,                0.91134,                0.99718,             0.00034549
                     27,                0.46057,                0.67084,                0.90821,                0.99781,               0.000273
                     28,                0.45839,                0.67182,                0.90915,                0.99781,             0.00020611
                     29,                0.45683,                0.67649,                0.90382,                0.99718,             0.00014645
                     30,                0.45344,                0.67997,                  0.901,                0.99718,             9.5492e-05
                     31,                0.45238,                0.68319,                0.89912,                0.99687,             5.4497e-05
                     32,                0.45115,                0.68613,                0.89912,                0.99718,             2.4472e-05
                     33,                0.45053,                0.68773,                 0.8985,                0.99781,             6.1558e-06
                     34,                0.45019,                0.68843,                0.89756,                0.99781,                  0.001
                     35,                0.99141,                 2.6861,                0.12531,                0.70677,             0.00099846
                     36,                0.67665,                 2.7217,                0.12531,                0.65132,             0.00099384
                     37,                0.58365,                 2.7007,                0.12531,                0.65132,             0.00098618
                     38,                0.54058,                 2.6819,                0.12531,                0.66416,             0.00097553
                     39,                0.51641,                 2.6449,                0.12531,                0.72932,             0.00096194
                     40,                0.50598,                 2.6032,                0.12531,                0.74749,              0.0009455
                     41,                0.51665,                 2.5708,                0.12531,                0.75627,             0.00092632
