                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2399,                 1.6527,                0.43954,                0.92575,             0.00090451
                      1,                0.94246,                  1.196,                0.70113,                0.99499,             0.00065451
                      2,                 0.7595,                 1.0573,                0.75345,                0.99185,             0.00034549
                      3,                0.60705,                0.83173,                0.85307,                0.99217,             9.5492e-05
                      4,                0.52317,                0.70837,                0.90132,                0.99091,                  0.001
                      5,                0.78494,                 1.0557,                0.74812,                0.99405,             0.00097553
                      6,                0.66439,                0.75907,                0.87343,                0.99561,             0.00090451
                      7,                 0.5978,                0.76123,                0.87531,                0.99467,             0.00079389
                      8,                0.55838,                 0.7649,                0.87782,                0.99373,             0.00065451
                      9,                0.52823,                 0.7111,                0.90508,                0.99279,                 0.0005
                     10,                0.49813,                0.69617,                0.90194,                0.99405,             0.00034549
                     11,                0.47683,                 0.7429,                0.88722,                0.98841,             0.00020611
                     12,                0.46495,                0.69345,                0.90852,                 0.9906,             9.5492e-05
                     13,                0.45758,                0.68052,                0.91103,                0.99154,             2.4472e-05
                     14,                0.45433,                0.68479,                0.90977,                0.99217,                  0.001
                     15,                  0.785,                0.80807,                0.85965,                0.99561,             0.00099384
                     16,                0.60326,                0.73736,                 0.8963,                 0.9906,             0.00097553
                     17,                0.56325,                0.75133,                0.89129,                0.99405,              0.0009455
                     18,                0.53875,                0.71277,                0.89912,                0.99311,             0.00090451
                     19,                0.53711,                0.74075,                0.90163,                0.99154,             0.00085355
                     20,                0.50789,                0.73807,                0.89818,                0.98716,             0.00079389
                     21,                0.49541,                0.71077,                0.90821,                0.98904,               0.000727
                     22,                0.48821,                0.73125,                0.90163,                0.98716,             0.00065451
                     23,                0.49247,                0.74481,                0.90006,                0.98371,             0.00057822
                     24,                0.47859,                0.72541,                0.90508,                0.98465,                 0.0005
                     25,                0.47736,                0.72881,                0.90445,                0.98559,             0.00042178
                     26,                0.46816,                0.71581,                0.90758,                 0.9834,             0.00034549
                     27,                0.45568,                0.72642,                0.90445,                0.98402,               0.000273
                     28,                0.45233,                0.73371,                0.89944,                0.98277,             0.00020611
                     29,                0.45428,                0.74079,                0.90006,                0.98496,             0.00014645
                     30,                0.45065,                0.74399,                0.90069,                0.98402,             9.5492e-05
                     31,                0.44931,                0.74278,                0.90038,                0.98559,             5.4497e-05
                     32,                0.44869,                0.74103,                0.90132,                0.98622,             2.4472e-05
                     33,                0.44838,                0.73966,                  0.901,                0.98496,             6.1558e-06
                     34,                0.44806,                 0.7387,                0.90163,                0.98559,                  0.001
                     35,                0.88806,                  2.108,                0.47619,                0.76472,             0.00099846
                     36,                0.61515,                 2.4727,                0.35056,                0.65758,             0.00099384
                     37,                0.56125,                 2.5238,                0.32018,                0.64505,             0.00098618
                     38,                0.53198,                 2.5244,                0.32675,                0.65006,             0.00097553
                     39,                0.52294,                 2.5429,                0.32895,                0.65069,             0.00096194
                     40,                0.50034,                 2.5326,                0.34336,                0.66228,              0.0009455
                     41,                0.50919,                  2.493,                0.36247,                0.66761,             0.00092632
                     42,                0.50993,                 2.4331,                0.38878,                0.67669,             0.00090451
                     43,                0.49426,                 2.3875,                0.41479,                0.68766,              0.0008802
                     44,                0.48755,                 2.3509,                0.43609,                0.69737,             0.00085355
                     45,                0.49598,                 2.3189,                0.44674,                0.70614,             0.00082472
                     46,                0.47571,                 2.2954,                 0.4599,                0.71366,             0.00079389
                     47,                0.49593,                 2.2738,                0.46679,                0.71992,             0.00076125
                     48,                0.47757,                  2.254,                 0.4693,                0.72431,               0.000727
                     49,                0.48231,                 2.2345,                0.47212,                0.72556,             0.00069134
                     50,                 0.4637,                 2.2118,                0.47525,                0.73058,             0.00065451
                     51,                 0.4712,                 2.1921,                0.47901,                0.73716,             0.00061672
                     52,                0.46905,                 2.1773,                0.48308,                0.74091,             0.00057822
                     53,                0.47056,                 2.1506,                0.48997,                0.74405,             0.00053923
                     54,                0.46446,                 2.1264,                0.49154,                0.75282,                 0.0005
                     55,                0.45641,                 2.1048,                0.49655,                0.75815,             0.00046077
                     56,                0.45108,                 2.0824,                0.50125,                0.76598,             0.00042178
                     57,                0.45562,                 2.0707,                0.50313,                0.76535,             0.00038328
                     58,                0.46204,                 2.0612,                0.50627,                0.76598,             0.00034549
                     59,                0.45457,                 2.0534,                 0.5094,                 0.7666,             0.00030866
                     60,                0.45012,                 2.0486,                0.51096,                0.76692,               0.000273
                     61,                0.46042,                 2.0421,                 0.5119,                0.76504,             0.00023875
                     62,                0.44859,                 2.0363,                0.51316,                0.76566,             0.00020611
                     63,                0.44891,                 2.0292,                0.51441,                 0.7666,             0.00017528
                     64,                0.44847,                 2.0202,                0.51535,                0.76848,             0.00014645
                     65,                0.44764,                 2.0126,                0.51598,                0.77099,              0.0001198
                     66,                0.44731,                 2.0059,                0.51566,                 0.7688,             9.5492e-05
                     67,                0.44755,                 2.0019,                0.51504,                0.76942,              7.368e-05
                     68,                0.44722,                 1.9994,                0.51378,                0.76754,             5.4497e-05
