                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
0,1.2523,1.1187,0.68169,0.99668,0.00090451
1,0.95124,1.7792,0.53036,0.96964,0.00065451
2,0.7617,1.0888,0.71964,0.99004,0.00034549
3,0.61493,0.88352,0.84108,0.9796,9.55E-05
4,0.53735,0.74312,0.90844,0.99004,0.001
5,0.79832,1.5517,0.61053,0.93833,0.00097553
6,0.65587,0.99519,0.76613,0.99668,0.00090451
7,0.60233,0.79923,0.87808,0.98719,0.00079389
8,0.5411,0.7503,0.89943,0.99004,0.00065451
9,0.50325,0.73598,0.90655,0.98814,0.0005
10,0.48493,0.72205,0.89801,0.98861,0.00034549
11,0.47177,0.69691,0.90987,0.98861,0.00020611
12,0.46484,0.67957,0.91271,0.99194,9.55E-05
13,0.45986,0.68026,0.91414,0.99051,2.45E-05
14,0.45803,0.67822,0.91319,0.99099,0.001
15,0.94246,0.88329,0.83159,0.98814,0.00099384
16,0.70233,0.82442,0.87144,0.98672,0.00097553
17,0.60047,0.74302,0.90228,0.99004,0.0009455
18,0.54655,0.72786,0.91366,0.99336,0.00090451
19,0.52869,0.72874,0.90512,0.98624,0.00085355
20,0.49991,0.69723,0.91082,0.99241,0.00079389
21,0.4949,0.68306,0.91556,0.98767,0.000727
22,0.4898,0.67591,0.91888,0.98767,0.00065451
23,0.47338,0.67173,0.92789,0.98624,0.00057822
24,0.46783,0.66535,0.92362,0.99004,0.0005
25,0.46376,0.66179,0.92647,0.99194,0.00042178
26,0.46403,0.66278,0.92457,0.99004,0.00034549
27,0.46009,0.65901,0.92315,0.98909,0.000273
28,0.45595,0.65688,0.926,0.98909,0.00020611
29,0.45358,0.65588,0.92742,0.99004,0.00014645
30,0.45211,0.65559,0.92837,0.99004,9.55E-05
31,0.45119,0.65565,0.92742,0.99004,5.45E-05
32,0.45033,0.6557,0.92837,0.99004,2.45E-05
33,0.44964,0.65563,0.92789,0.99051,6.16E-06
34,0.44946,0.65537,0.92742,0.99051,0.001
,,,,,
" 34/35      3.3G        0.45       0.656       0.928       0.991: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 397/397 [03:49<00:00,  1.73it/s]",,,,,
Current Learning Rate: 6.15582970243117e-06,,,,,
"macro_precision:0.925117,macro_recall:0.915714,macro_f1:0.919832,mcc:0.913912",,,,,
